20.00000,50.00000,100.00000,300.00000,500.00000,5000.00000,
0.00060,0.00157,0.00713,0.02384,0.08030,8.55658,
0.00033,0.00184,0.00362,0.02806,0.10755,8.25179,
0.00052,0.00157,0.00494,0.03207,0.09894,8.44221,
0.00057,0.00098,0.00448,0.03262,0.08073,7.88207,
0.00041,0.00124,0.00453,0.03347,0.09303,8.14979,
0.00038,0.00160,0.00346,0.02820,0.07927,7.62897,
0.00033,0.00124,0.00341,0.02954,0.07520,8.37693,
0.00038,0.00124,0.00415,0.02677,0.08595,8.01530,
0.00031,0.00241,0.00312,0.03672,0.11768,8.10361,
0.00045,0.00114,0.00346,0.02809,0.08159,8.15899,
0.00038,0.00095,0.00536,0.03335,0.09143,8.10409,
0.00026,0.00117,0.00532,0.02611,0.08914,8.22010,
0.00033,0.00114,0.00656,0.02697,0.07818,7.73745,
0.00050,0.00098,0.00553,0.02856,0.08810,7.94320,
0.00036,0.00072,0.00408,0.03159,0.08166,7.67460,
