20
2977; 839; 2844; 6038; 5672; 4024; 9103; 5422; 6358; 5710; 570; 5827; 400; 2025; 8407; 2330; 3981; 4006; 8876; 8610; 
3895; 6449; 251; 2489; 1813; 1721; 366; 5193; 5608; 2960; 1597; 7082; 2017; 8811; 5693; 6971; 9889; 1283; 6128; 3698; 
9944; 6414; 8633; 7184; 2029; 2444; 3490; 618; 8689; 4918; 321; 9695; 149; 7753; 9522; 1599; 6870; 9218; 2960; 1885; 
4736; 7769; 356; 2275; 8859; 7602; 1367; 571; 5956; 6713; 4390; 504; 1390; 4045; 1418; 7889; 357; 9924; 2644; 9131; 
3974; 9198; 7034; 7399; 1239; 2076; 5196; 4142; 7419; 825; 4481; 7752; 1003; 2272; 3335; 2010; 5780; 8506; 8576; 9189; 
634; 9361; 7315; 9137; 243; 3734; 6590; 1158; 8869; 3991; 4779; 9909; 6444; 7496; 1646; 7569; 2600; 3883; 8149; 5549; 
7221; 4225; 9675; 7419; 7761; 2036; 3396; 7121; 3705; 1068; 5956; 8490; 250; 5997; 3147; 448; 9685; 9712; 4371; 5984; 
7325; 9789; 6487; 6548; 6630; 6133; 3214; 1607; 8049; 7408; 9209; 2413; 3040; 1530; 6276; 3845; 2005; 4131; 8623; 6395; 
7928; 5759; 2518; 9463; 8775; 937; 5831; 4646; 5492; 2735; 2030; 2369; 738; 5606; 1547; 6878; 8097; 4725; 1655; 3067; 
75; 3979; 6058; 8482; 6180; 4445; 8906; 6836; 3563; 1669; 4506; 9141; 6264; 1101; 4052; 5548; 3245; 4438; 5939; 7248; 
8321; 1497; 2601; 7386; 7581; 5842; 7449; 7113; 7730; 2498; 4549; 1776; 9281; 6887; 9768; 5019; 8741; 8138; 6610; 3061; 
6296; 6377; 1057; 1173; 2905; 8472; 3176; 8943; 9892; 7686; 2243; 9103; 1389; 6380; 2749; 8019; 1336; 7616; 1108; 9160; 
9238; 4029; 1358; 9525; 2168; 5780; 790; 289; 8835; 9339; 2560; 8621; 3639; 4451; 4882; 4254; 2430; 6259; 569; 1438; 
8151; 3524; 4322; 2413; 8519; 956; 1287; 4714; 3184; 9940; 5067; 9693; 7459; 1734; 9837; 6842; 6504; 7567; 1856; 3709; 
9246; 463; 1157; 9616; 801; 2471; 4335; 9549; 781; 8035; 88; 6792; 3068; 9749; 5001; 1538; 835; 3453; 949; 3182; 
