20,50,100,300,500,1000,3000,5000,
0.00179,0.00477,0.01013,0.03521,0.06435,0.13857,0.45784,0.82812,
0.00169,0.00463,0.00992,0.03467,0.06418,0.13885,0.45955,0.81599,
0.00169,0.00463,0.00975,0.03464,0.06349,0.13831,0.46415,0.82748,
0.00162,0.00458,0.00975,0.03445,0.06249,0.13900,0.47629,0.81735,
0.00165,0.00460,0.01013,0.03452,0.06251,0.13838,0.47123,0.80941,
0.00165,0.00453,0.00975,0.03459,0.06282,0.13878,0.47550,0.80817,
0.00162,0.00458,0.00989,0.03459,0.06270,0.13852,0.47295,0.82085,
0.00155,0.00465,0.01006,0.03438,0.06216,0.13916,0.47147,0.80004,
0.00162,0.00632,0.01001,0.03510,0.06247,0.13828,0.46275,0.80643,
0.00162,0.00463,0.01009,0.03450,0.06394,0.13885,0.46594,0.81763,
0.00165,0.00460,0.01006,0.03469,0.06466,0.13909,0.46713,0.81654,
0.00165,0.00455,0.00999,0.03462,0.06473,0.13695,0.46842,0.81470,
0.00157,0.00463,0.01001,0.03469,0.06273,0.13630,0.46861,0.82157,
0.00162,0.00458,0.01004,0.03450,0.06266,0.13940,0.46554,0.80302,
0.00160,0.00460,0.00989,0.03445,0.06375,0.13855,0.45922,0.58780,
