20
189; 399; 419; 981; 2086; 2376; 2413; 3194; 3239; 3479; 5326; 5450; 7009; 7091; 8180; 8278; 8366; 8387; 8967; 9471; 
15; 266; 1979; 2080; 2621; 2716; 3216; 3491; 3592; 3968; 5780; 6225; 6484; 6540; 6563; 7056; 8380; 8594; 8640; 9501; 
148; 942; 972; 1064; 1325; 1484; 2065; 2137; 4032; 4107; 4529; 4845; 6071; 6716; 7350; 7578; 7718; 8087; 8846; 9436; 
278; 488; 884; 977; 1387; 2092; 2201; 2601; 2622; 3586; 4144; 4832; 6083; 6793; 7006; 7462; 8042; 8654; 9610; 9757; 
74; 529; 1108; 2547; 2954; 4217; 4401; 5685; 6223; 6307; 7247; 7285; 7671; 8281; 8509; 8749; 9100; 9716; 9791; 9823; 
515; 1795; 1825; 2131; 2396; 3478; 3658; 3743; 4047; 4060; 4100; 4222; 4752; 5651; 8225; 8960; 9449; 9455; 9631; 9764; 
350; 1534; 1921; 2697; 2740; 3194; 4479; 5419; 5533; 5769; 5851; 6143; 6278; 6308; 6827; 7183; 7957; 9019; 9569; 9659; 
792; 1295; 1381; 1514; 1591; 1791; 1812; 2576; 2763; 3981; 4813; 6227; 6265; 6524; 6823; 7200; 7791; 8298; 8952; 9303; 
1021; 1566; 1809; 2502; 3210; 3553; 4138; 4691; 4747; 4823; 5579; 5789; 6379; 6633; 6658; 8829; 9293; 9313; 9317; 9836; 
234; 562; 622; 1479; 2674; 3161; 3318; 4027; 4124; 4214; 4557; 4928; 4964; 5213; 7539; 8343; 9019; 9389; 9511; 9804; 
174; 669; 1246; 2152; 3005; 3375; 3990; 4905; 4964; 5100; 5332; 5377; 5557; 6232; 7031; 8328; 8870; 9327; 9428; 9639; 
152; 2394; 2567; 2573; 3054; 3315; 3351; 3478; 3927; 4101; 5816; 5883; 6548; 6634; 6722; 7070; 8315; 8570; 8672; 8798; 
34; 207; 1322; 1423; 2359; 2903; 3553; 3814; 4755; 4767; 5002; 5404; 6056; 7218; 7732; 8042; 8228; 8529; 8997; 9972; 
127; 829; 978; 1394; 1938; 2935; 3436; 4155; 4831; 5112; 5763; 5930; 6380; 7147; 7433; 7543; 7928; 7946; 8262; 9377; 
422; 1107; 1617; 2152; 2171; 2419; 2791; 3067; 3315; 4523; 4579; 4839; 5973; 6035; 6550; 7243; 7323; 7409; 8231; 9632; 
