50
777; 815; 918; 1130; 1173; 1319; 1407; 1512; 1579; 1767; 1798; 1941; 1947; 1977; 2462; 2703; 2774; 2880; 3068; 3285; 3777; 3803; 4224; 4410; 4454; 4481; 4490; 4560; 4649; 5060; 5513; 5701; 6650; 6682; 6794; 7011; 7165; 7311; 7609; 7730; 7861; 7936; 8123; 8135; 8191; 8363; 9423; 9428; 9573; 9592; 
62; 318; 480; 624; 783; 945; 1155; 1217; 1238; 1490; 1503; 1746; 1781; 1793; 1948; 2021; 2249; 2661; 3113; 3453; 3478; 3575; 3706; 3801; 3807; 4139; 4461; 4600; 4616; 4714; 5447; 5827; 6088; 6717; 6903; 6907; 7364; 7414; 7483; 7489; 8037; 8268; 8398; 8451; 8481; 8776; 9014; 9053; 9537; 9540; 
444; 492; 763; 840; 901; 1067; 1450; 1565; 2375; 2473; 2802; 3077; 3177; 3181; 3221; 3836; 3841; 4237; 4291; 4517; 4572; 5588; 5640; 5897; 5949; 6530; 6564; 6657; 6769; 7037; 7197; 7300; 7717; 7811; 7848; 7928; 8082; 8128; 8296; 8439; 8533; 8593; 8659; 8729; 8934; 9198; 9488; 9518; 9681; 9731; 
244; 723; 1174; 1219; 1469; 1892; 2097; 2293; 2357; 2448; 2455; 2591; 2701; 2927; 2957; 3280; 3378; 3581; 3621; 3678; 3715; 3748; 3947; 4007; 4049; 4115; 4367; 4479; 4699; 4711; 4747; 4944; 5565; 6172; 6435; 6442; 6536; 6684; 6931; 7061; 7411; 7483; 7716; 7897; 7919; 8427; 8680; 8896; 9025; 9727; 
118; 719; 813; 1063; 1131; 1335; 1664; 1680; 1782; 1963; 2034; 2129; 2132; 2271; 2395; 2423; 2559; 2638; 2819; 3004; 3069; 3405; 3491; 3628; 4188; 4673; 4745; 4816; 5251; 5359; 5616; 5679; 6046; 6218; 6310; 6495; 6812; 6885; 7538; 7663; 7987; 8105; 8122; 8262; 8436; 8508; 9039; 9252; 9302; 9901; 
246; 564; 605; 657; 837; 1183; 1328; 1400; 1425; 1451; 1454; 1607; 1847; 1906; 2246; 2336; 2915; 3079; 3222; 3603; 3679; 3891; 4233; 4558; 4604; 4727; 4770; 5107; 5153; 5214; 5263; 5860; 6382; 6555; 7441; 7500; 7525; 7587; 7674; 7852; 7867; 8057; 8135; 8486; 8836; 8935; 9037; 9094; 9809; 9832; 
360; 521; 952; 1112; 1132; 1245; 1492; 1607; 1696; 1705; 1821; 2036; 2054; 2526; 2716; 2765; 2808; 3078; 3129; 3289; 3683; 4252; 5149; 5339; 5836; 5913; 5990; 6329; 6398; 6788; 7173; 7208; 7275; 7536; 7611; 7945; 7950; 7951; 8008; 8052; 8107; 8664; 8690; 9088; 9583; 9707; 9777; 9799; 9811; 9885; 
109; 742; 982; 1119; 1205; 1651; 1677; 1744; 1962; 1980; 2215; 2533; 2620; 2695; 3035; 3042; 3454; 3724; 3860; 4285; 4873; 5424; 5465; 5561; 5629; 5779; 5957; 6242; 6257; 6309; 6319; 7042; 7214; 7336; 7359; 7373; 7491; 7565; 7950; 8002; 8187; 8320; 8534; 8624; 8929; 9106; 9239; 9479; 9710; 9952; 
230; 308; 348; 570; 607; 735; 780; 833; 860; 895; 1220; 1253; 1530; 1538; 1580; 1596; 1690; 1793; 2427; 2829; 3049; 3051; 3122; 3249; 3427; 3563; 3868; 3891; 4536; 4689; 5176; 5438; 5664; 5869; 5996; 6245; 6317; 6702; 6742; 7224; 7461; 7793; 8036; 8184; 8329; 8475; 8544; 8615; 9280; 9469; 
142; 288; 289; 378; 427; 454; 1207; 1384; 1640; 1837; 2596; 2598; 2649; 2762; 3028; 3493; 3667; 3702; 3749; 3981; 4181; 4344; 4405; 4446; 4477; 4487; 5245; 6047; 6114; 6193; 6459; 6623; 6786; 6982; 7079; 7345; 7508; 7736; 7784; 7951; 8129; 8232; 8546; 8750; 8932; 9168; 9272; 9292; 9700; 9908; 
